Node2 Y-coordinate,Packets dropped
300.5, 16
301, 21
301.5, 25
302, 21
302.5, 37
303, 19
303.5, 15
304, 22
304.5, 14
305, 26
305.5, 20
306, 22
306.5, 29
307, 24
307.5, 15
308, 14
308.5, 17
309, 23
309.5, 16
310, 14
310.5, 16
311, 20
311.5, 30
312, 20
312.5, 19
313, 29
313.5, 24
314, 25
314.5, 28
315, 25
315.5, 17
316, 24
316.5, 22
317, 25
317.5, 27
318, 20
318.5, 22
319, 22
319.5, 12
320, 34
320.5, 13
321, 16
321.5, 29
322, 21
322.5, 21
323, 26
323.5, 21
324, 26
324.5, 18
325, 20
325.5, 25
326, 18
326.5, 34
327, 26
327.5, 27
328, 21
328.5, 27
329, 32
329.5, 32
330, 35
330.5, 31
331, 31
331.5, 39
332, 29
332.5, 39
333, 33
333.5, 35
334, 40
334.5, 40
335, 39
335.5, 45
336, 48
336.5, 54
337, 42
337.5, 47
338, 48
338.5, 59
339, 73
339.5, 68
340, 89
340.5, 75
341, 87
341.5, 89
342, 78
342.5, 84
343, 103
343.5, 94
344, 105
344.5, 123
345, 121
345.5, 135
346, 129
346.5, 135
347, 116
347.5, 129
348, 143
348.5, 153
349, 145
349.5, 161
350, 170
350.5, 169
351, 193
351.5, 188
352, 170
352.5, 180
353, 194
353.5, 211
354, 196
354.5, 208
355, 199
355.5, 210
356, 213
356.5, 211
357, 203
357.5, 195
358, 205
358.5, 211
359, 212
359.5, 216
360, 218
360.5, 205
361, 203
361.5, 223
362, 217
362.5, 205
363, 213
363.5, 203
364, 211
364.5, 223
365, 222
365.5, 216
366, 214
366.5, 224
367, 227
367.5, 230
368, 218
368.5, 206
369, 235
369.5, 230
370, 229
370.5, 229
371, 211
371.5, 235
372, 252
372.5, 232
373, 223
373.5, 216
374, 227
374.5, 230
375, 219
375.5, 227
376, 238
376.5, 230
377, 217
377.5, 223
378, 240
378.5, 244
379, 229
379.5, 232
380, 75
380.5, 238
381, 3
381.5, 3
382, 3
382.5, 3
383, 3
383.5, 3
384, 3
384.5, 3
385, 3
385.5, 3
386, 3
386.5, 3
387, 3
387.5, 3
388, 3
388.5, 3
389, 3
389.5, 3
390, 3
390.5, 3
391, 3
391.5, 3
392, 3
392.5, 3
393, 3
393.5, 3
394, 3
394.5, 3
395, 3
395.5, 3
396, 3
396.5, 3
397, 3
397.5, 3
398, 3
398.5, 3
399, 3
399.5, 3
400, 3
