Node2 Y-coordinate,Packets dropped
300.5, 103
301, 31
301.5, 90
302, 95
302.5, 94
303, 30
303.5, 91
304, 102
304.5, 76
305, 82
305.5, 74
306, 78
306.5, 86
307, 100
307.5, 100
308, 80
308.5, 69
309, 79
309.5, 81
310, 111
310.5, 90
311, 82
311.5, 82
312, 90
312.5, 94
313, 83
313.5, 78
314, 106
314.5, 78
315, 89
315.5, 86
316, 93
316.5, 92
317, 76
317.5, 90
318, 88
318.5, 88
319, 91
319.5, 99
320, 117
320.5, 99
321, 85
321.5, 107
322, 93
322.5, 101
323, 98
323.5, 90
324, 96
324.5, 100
325, 109
325.5, 121
326, 105
326.5, 72
327, 103
327.5, 99
328, 81
328.5, 79
329, 106
329.5, 103
330, 112
330.5, 90
331, 193
331.5, 118
332, 96
332.5, 95
333, 124
333.5, 109
334, 117
334.5, 121
335, 123
335.5, 153
336, 137
336.5, 145
337, 134
337.5, 132
338, 178
338.5, 149
339, 149
339.5, 159
340, 176
340.5, 154
341, 198
341.5, 156
342, 166
342.5, 189
343, 171
343.5, 189
344, 204
344.5, 225
345, 235
345.5, 245
346, 230
346.5, 268
347, 252
347.5, 260
348, 242
348.5, 250
349, 297
349.5, 261
350, 285
350.5, 290
351, 303
351.5, 302
352, 307
352.5, 300
353, 303
353.5, 326
354, 333
354.5, 306
355, 312
355.5, 303
356, 308
356.5, 316
357, 312
357.5, 327
358, 334
358.5, 338
359, 330
359.5, 336
360, 319
360.5, 329
361, 328
361.5, 326
362, 326
362.5, 336
363, 327
363.5, 350
364, 333
364.5, 320
365, 331
365.5, 346
366, 326
366.5, 333
367, 360
367.5, 345
368, 343
368.5, 341
369, 326
369.5, 337
370, 335
370.5, 332
371, 342
371.5, 329
372, 334
372.5, 333
373, 338
373.5, 342
374, 344
374.5, 254
375, 348
375.5, 249
376, 235
376.5, 329
377, 335
377.5, 332
378, 322
378.5, 355
379, 338
379.5, 352
380, 258
380.5, 262
381, 220
381.5, 221
382, 222
382.5, 227
383, 216
383.5, 223
384, 226
384.5, 228
385, 236
385.5, 230
386, 221
386.5, 217
387, 218
387.5, 231
388, 221
388.5, 235
389, 221
389.5, 228
390, 226
390.5, 219
391, 229
391.5, 232
392, 225
392.5, 232
393, 237
393.5, 224
394, 222
394.5, 218
395, 209
395.5, 223
396, 219
396.5, 237
397, 229
397.5, 226
398, 228
398.5, 215
399, 226
399.5, 223
400, 231
