Node2 Y-coordinate,Packets dropped
300.5, 221
301, 27
301.5, 218
302, 204
302.5, 270
303, 33
303.5, 257
304, 222
304.5, 265
305, 210
305.5, 249
306, 224
306.5, 210
307, 230
307.5, 219
308, 224
308.5, 205
309, 213
309.5, 234
310, 239
310.5, 237
311, 223
311.5, 220
312, 237
312.5, 236
313, 258
313.5, 218
314, 258
314.5, 252
315, 266
315.5, 253
316, 259
316.5, 267
317, 237
317.5, 259
318, 239
318.5, 277
319, 245
319.5, 264
320, 240
320.5, 265
321, 34
321.5, 265
322, 251
322.5, 262
323, 272
323.5, 278
324, 297
324.5, 305
325, 308
325.5, 262
326, 318
326.5, 298
327, 297
327.5, 318
328, 284
328.5, 320
329, 314
329.5, 283
330, 343
330.5, 308
331, 296
331.5, 321
332, 320
332.5, 332
333, 354
333.5, 256
334, 340
334.5, 347
335, 246
335.5, 384
336, 384
336.5, 319
337, 371
337.5, 351
338, 379
338.5, 370
339, 370
339.5, 390
340, 298
340.5, 376
341, 413
341.5, 412
342, 409
342.5, 322
343, 407
343.5, 348
344, 453
344.5, 437
345, 305
345.5, 446
346, 443
346.5, 468
347, 450
347.5, 449
348, 434
348.5, 460
349, 357
349.5, 482
350, 477
350.5, 473
351, 493
351.5, 258
352, 477
352.5, 477
353, 473
353.5, 486
354, 513
354.5, 483
355, 485
355.5, 485
356, 467
356.5, 482
357, 481
357.5, 487
358, 482
358.5, 501
359, 495
359.5, 485
360, 493
360.5, 507
361, 507
361.5, 508
362, 483
362.5, 481
363, 458
363.5, 503
364, 475
364.5, 471
365, 511
365.5, 509
366, 501
366.5, 343
367, 521
367.5, 505
368, 508
368.5, 496
369, 495
369.5, 528
370, 484
370.5, 332
371, 498
371.5, 468
372, 487
372.5, 501
373, 494
373.5, 497
374, 484
374.5, 476
375, 530
375.5, 328
376, 342
376.5, 496
377, 480
377.5, 259
378, 241
378.5, 523
379, 253
379.5, 516
380, 248
380.5, 503
381, 265
381.5, 258
382, 271
382.5, 259
383, 256
383.5, 257
384, 251
384.5, 256
385, 266
385.5, 272
386, 247
386.5, 253
387, 277
387.5, 246
388, 240
388.5, 259
389, 246
389.5, 266
390, 251
390.5, 269
391, 260
391.5, 272
392, 251
392.5, 270
393, 255
393.5, 252
394, 251
394.5, 259
395, 239
395.5, 250
396, 250
396.5, 263
397, 262
397.5, 248
398, 256
398.5, 273
399, 265
399.5, 249
400, 257
